log_frequency_per_million,word,transcription,part_of_speech
1.86,investment,InvEstm@nt,N
1.08,investor,InvEst@R,N
0.3,invigorate,InvIg@r1t,V
0.48,invincible,InvIns@bP,A
1.38,invisible,InvIz@bP,A
1.38,invitation,InvIt1SH,N
1.81,invite,Inv2t,V
0.3,invite,Inv2t,N
0.3,inviting,Inv2tIN,A
0.3,invoice,Inv4s,N
0.9,invoke,Inv5k,V
0.6,involuntarily,InvQl@nt@r@lI,ADV
0.6,involuntary,InvQl@nt@rI,A
2.32,involve,InvQlv,V
1.32,involved,InvQlvd,A
1.36,involvement,InvQlvm@nt,N
0.7,inward,Inw@d,A
0.48,inward,Inw@d,ADV
0.48,inwardly,Inw@dlI,ADV
0.78,inwards,Inw@dz,ADV
0.6,iodine,25din,N
0.6,ion,2@n,N
1.04,Iran,Ir#n,N
0.3,Iranian,Ir1nj@n,N
0.6,Iranian,Ir1nj@n,A
0.78,Iraq,Ir#k,N
0.3,Iraqi,Ir#kI,N
0.48,Iraqi,Ir#kI,A
0.3,ire,2@R,N
1.59,Ireland,2@l@nd,N
0.48,iris,2@rIs,N
1.49,Irish,2@rIS,A
0.48,Irishman,2@rISm@n,N
1.85,iron,2@n,N
0.7,iron,2@n,V
0.9,ironic,2rQnIk,A
0.3,ironical,2rQnIkP,A
1,ironically,2rQnIk@lI,ADV
0.6,ironing,2@nIN,N
1.15,irony,2@r@nI,N
1.04,irrational,Ir{S@nP,A
0.3,irrationality,Ir{S@n{l@tI,N
0.3,irreconcilable,IrEk@ns2l@bP,A
0.3,irrefutable,IrEfjUt@bP,A
0.48,irregular,IrEgjUl@R,N
0.95,irregular,IrEgjUl@R,A
0.3,irregularity,IrEgjUl{r@tI,N
0.3,irregularly,IrEgjUl@lI,ADV
0.3,irrelevance,IrEl@v@ns,N
1.23,irrelevant,IrEl@v@nt,A
0.3,irreplaceable,IrIpl1s@bP,A
0.3,irrepressible,IrIprEs@bP,A
0.85,irresistible,IrIzIst@bP,A
0.3,irresistibly,IrIzIst@blI,ADV
0.78,irrespective,IrIspEktIv,ADV
0.3,irresponsibility,IrIspQns@bIl@tI,N
0.9,irresponsible,IrIspQns@bP,A
0.48,irreversible,IrIv3s@bP,A
0.3,irrevocable,IrEv@k@bP,A
0.3,irrevocably,IrEv@k@blI,ADV
0.3,irrigate,IrIg1t,V
0.85,irrigation,IrIg1SH,N
0.3,irritability,IrIt@bIl@tI,N
0.7,irritable,IrIt@bP,A
0.6,irritably,IrIt@blI,ADV
1.3,irritate,IrIt1t,V
1.08,irritation,IrIt1SH,N
0.9,Irving,3vIN,N
0.9,Islam,Izl#m,N
0.7,Islamic,Izl{mIk,A
1.96,island,2l@nd,N
0.48,islander,2l@nd@R,N
1.15,isle,2l,N
0.3,ism,Iz@m,N
1.08,isolate,2s@l1t,V
1.28,isolated,2s@l1tId,A
1.23,isolation,2s@l1SH,N
1.65,Israel,Izr1@l,N
0.85,Israeli,Izr1lI,N
1.11,Israeli,Izr1lI,A
0.3,Israelite,Izr7l2t,A
2.16,issue,ISu,N
1.58,issue,ISu,V
4.05,it,It,FUNC
1.52,Italian,It{lj@n,A
1.11,Italian,It{lj@n,N
1.51,Italy,It@lI,N
0.6,itch,IJ,V
1.66,item,2t@m,N
0.3,item,2t@m,ADV
0.3,itinerary,2tIn@r@rI,N
3.19,its,Its,FUNC
2.45,itself,ItsElf,FUNC
1.04,ivory,2v@rI,N
0.7,ivy,2vI,N
1.73,j,_1,N
0.6,jab,_{b,V
0.78,jack,_{k,N
1.67,Jack,_{k,N
1.18,jackal,_{k$l,N
1.62,jacket,_{kIt,N
0.3,Jacobean,_{k5bi@n,A
0.3,jade,_1d,N
0.3,jaded,_1dId,A
0.3,Jaffa,_{f@,N
0.6,jagged,_{gId,A
0.7,jaguar,_{gj9R,N
1.51,jail,_1l,N
0.48,jail,_1l,V
0.7,jailer,_1l@R,N
1.15,jam,_{m,N
1.04,jam,_{m,V
0.85,Jamaica,_@m1k@,N
0.3,Jamaican,_@m1k@n,A
1.58,Jane,_1n,N
0.3,jangle,_{NgP,V
0.3,janitor,_{nIt@R,N
1.61,January,_{nj9rI,N
1.48,Japan,_@p{n,N
1.15,Japanese,_{p@niz,N
1.38,Japanese,_{p@niz,A
1.28,jar,_#R,N
0.3,jar,_#R,V
0.85,jargon,_#g@n,N
0.3,jasper,_{sp@R,N
1.34,jaw,_$,N
0.7,jay,_1,N
0.9,jazz,_{z,N
1.28,jealous,_El@s,A
0.3,jealously,_El@slI,ADV
1.15,jealousy,_El@sI,N
1.26,jean,_1n,N
1.11,jeans,_inz,N
0.95,jeep,_ip,N
0.6,jeer,_7R,V
0.3,Jeff,_Ef,N
1.04,jelly,_ElI,N
0.3,jellyfish,_ElIfIS,N
0.85,Jennifer,_EnIf@R,N
1.4,jenny,_EnI,N
0.6,jeopardize,_Ep@d2z,V
0.3,jeopardy,_Ep@dI,N
0.7,jerk,_3k,N
1.18,jerk,_3k,V
0.3,jerky,_3kI,A
0.48,jersey,_3zI,N
1,Jersey,_3zI,N
1.34,Jerusalem,_@rus@l@m,N
0.3,jest,_Est,N
0.3,Jesuit,_EzjUIt,N
1.28,jet,_Et,N
0.3,jettison,_EtIsH,V
0.48,jetty,_EtI,N
1.93,Jew,_u,N
0.95,jewel,_u@l,N
0.3,jewelled,_u@ld,A
1,jewellery,_u@lrI,N
1.66,Jewish,_uIS,A
0.48,jigsaw,_Igs$,N
1.53,Jim,_Im,N
0.48,jingle,_INgP,V
2.52,job,_Qb,N
0.7,jockey,_QkI,N
0.3,jog,_Qg,N
0.7,jog,_Qg,V
0.3,jogging,_QgIN,N
0.78,john,_Qn,N
2.3,John,_Qn,N
1.54,johnny,_QnI,N
1.11,Johnson,_QnsH,N
2.16,join,_4n,V
1.43,joint,_4nt,N
1.43,joint,_4nt,A
0.6,jointly,_4ntlI,ADV
1.7,joke,_5k,N
1.04,joke,_5k,V
0.3,joker,_5k@R,N
0.3,jokingly,_5kINlI,ADV
0.7,jolly,_QlI,A
0.85,jolly,_QlI,ADV
0.3,jolt,_5lt,N
0.48,jolt,_5lt,V
1.34,Jones,_5nz,N
1.08,Jordan,_$dH,N
0.3,josh,_QS,V
0.7,jostle,_QsP,V
0.48,jot,_Qt,V
1.38,journal,_3nP,N
0.9,journalism,_3n@lIz@m,N
1.49,journalist,_3n@lIst,N
0.3,journalistic,_3n@lIstIk,A
1.76,journey,_3nI,N
0.3,journey,_3nI,V
0.3,jovial,_5vj@l,A
0.3,jowl,_6l,N
1.64,joy,_4,N
1.08,Joyce,_4s,N
0.6,joyful,_4fUl,A
0.48,joyous,_4@s,A
0.3,jubilee,_ubIli,N
0.6,Judah,_ud@,N
0.48,Judaism,_ud1Iz@m,N
0.3,Judas,_ud@s,N
1.77,judge,_V_,N
1.6,judge,_V_,V
1.77,judgement,_V_m@nt,N
0.6,judicial,_udISP,A
0.48,judiciary,_udIS@rI,N
0.3,judicious,_udIS@s,A
0.3,judo,_ud5,N
1,jug,_Vg,N
0.3,juggle,_VgP,V
1.38,juice,_us,N
0.6,juicy,_usI,A
0.7,Julian,_ul7n,A
0.7,Julius,_ulj@s,N
1.73,July,_ul2,N
0.7,jumble,_VmbP,N
0.48,jumble,_VmbP,V
0.3,jumbo,_Vmb5,A
0.9,jump,_Vmp,N
1.83,jump,_Vmp,V
0.48,jumper,_Vmp@R,N
0.78,junction,_VNkSH,N
0.3,juncture,_VNkJ@R,N
1.76,June,_un,N
1.23,jungle,_VNgP,N
0.6,junior,_unj@R,N
1.26,junior,_unj@R,A
0.9,junk,_VNk,N
0.3,junta,_Vnt@,N
1,Jupiter,_upIt@R,N
0.48,jurisdiction,_9rIsdIkSH,N
0.85,juror,_9r@R,N
1.51,jury,_9rI,N
3.13,just,_Vst,ADV
1.62,justice,_VstIs,N
1.04,Justice,_VstIs,N
0.3,justifiable,_VstIf2@bP,A
0.3,justifiably,_VstIf2@blI,ADV
1.15,justification,_VstIfIk1SH,N
1.08,justified,_VstIf2d,A
1.45,justify,_VstIf2,V
0.3,justly,_VstlI,ADV
0.85,juvenile,_uv@n2l,A
1.28,k,k1,N
0.3,Kaiser,k2s@R,N
0.3,kale,k1l,N
0.3,kaleidoscope,k@l2d@sk5p,N
0.48,kangaroo,k{Ng@ru,N
0.6,karate,k@r#tI,N
0.48,keel,kil,N
1.45,keen,kin,A
0.6,keenly,kinlI,ADV
2.82,keep,kip,V
0.95,keeper,kip@R,N
0.78,keeping,kipIN,N
0.6,Kelly,kElI,N
0.78,Kenya,kEnj@,N
0.78,kerb,k3b,N
0.3,kernel,k3nP,N
0.3,kerosene,kEr@sin,N
1.08,kettle,kEtP,N
1.93,key,ki,N
0.3,key,ki,N
0.48,keyboard,kib$d,N
0.48,khaki,k#kI,A
0.85,khan,k#n,N
1.04,kibbutz,kIbUts,N
1.11,kick,kIk,N
1.62,kick,kIk,V
0.3,kicker,kIk@R,N
1.9,kid,kId,N
1.04,kid,kId,V
0.85,kidnap,kIdn{p,V
0.95,kidney,kIdnI,N
0.6,kill,kIl,N
2.32,kill,kIl,V
1.18,killer,kIl@R,N
0.3,kiln,kIln,N
0.6,kilo,kil5,N
0.95,kilogram,kIl5gr{m,N
1.45,kilometre,kIl5mit@R,N
0.3,kilowatt,kIl5wQt,N
0.3,kilt,kIlt,N
0.48,kin,kIn,N
2.69,kind,k2nd,N
1.34,kind,k2nd,A
0.48,kindergarten,kInd@g#tH,N
0.3,kindle,kIndP,V
1.08,kindly,k2ndlI,A
1.04,kindly,k2ndlI,ADV
1.08,kindness,k2ndnIs,N
0.48,kinetic,kInEtIk,A
2,king,kIN,N
1.51,kingdom,kINd@m,N
0.3,Kings,kINz,N
0.48,kinship,kInSIp,N
0.48,kiosk,kiQsk,N
0.85,kirk,k3k,N
0.6,Kirk,k3k,N
1.23,kiss,kIs,N
1.77,kiss,kIs,V
1,kit,kIt,N
2.05,kitchen,kIJIn,N
0.3,kitchenette,kIJInEt,N
0.7,kite,k2t,N
0.85,kitten,kItH,N
1.71,kitty,kItI,N
0.3,Kleenex,klinEks,N
0.48,knack,n{k,N
0.48,knead,nid,V
1.92,knee,ni,N
1.36,kneel,nil,V
0.48,knickers,nIk@z,N
1.64,knife,n2f,N
0.3,knife,n2f,V
1.11,knight,n2t,N
0.95,knit,nIt,V
0.48,knitting,nItIN,N
0.85,knob,nQb,N
0.9,knock,nQk,N
1.73,knock,nQk,V
0.3,knoll,n5l,N
1.15,knot,nQt,N
0.7,knot,nQt,V
3.33,know,n5,V
0.48,know-how,n5h6,N
0.6,knowing,n5IN,A
0.48,knowing,n5IN,N
0.3,knowingly,n5INlI,ADV
2.13,knowledge,nQlI_,N
0.6,knowledgeable,nQlI_@bP,A
2.15,known,n5n,A
0.78,knuckle,nVkP,N
0.3,kohl,k5l,N
0.85,Korea,k@r7,N
0.48,Korean,k@r7n,A
0.7,kraal,kr#l,N
0.6,Kremlin,krEmlIn,N
0.3,krona,kr5n@,N
2.02,l,El,N
1.56,la,l#,N
1,lab,l{b,N
1.3,label,l1bP,N
1.2,label,l1bP,V
1.48,laboratory,l@bQr@t@rI,N
0.48,laborious,l@b$r7s,A
0.48,laboriously,l@b$r7slI,ADV
1.97,labour,l1b@R,N
0.78,labour,l1b@R,V
2.23,Labour,l1b@R,N
1.18,labourer,l1b@r@R,N
0.3,labyrinth,l{b@rInT,N
1.11,lace,l1s,N
0.7,lace,l1s,V
1.91,lack,l{k,N
1.56,lack,l{k,V
1.04,lacking,l{kIN,A
0.3,lactic,l{ktIk,A
0.3,lacy,l1sI,A
1.3,lad,l{d,N
1.2,ladder,l{d@R,N
0.48,laden,l1dH,A
0.6,Ladies,l1dIz,N
0.3,ladle,l1dP,V
2.05,lady,l1dI,N
1.65,Lady,l1dI,N
0.3,ladyship,l1dISIp,N
0.48,lag,l{g,N
0.48,lag,l{g,V
0.3,lager,l#g@R,N
0.6,lagoon,l@gun,N
0.48,laissez-faire,l1s1f8R,N
1.7,lake,l1k,N
1.32,lamb,l{m,N
0.6,lame,l1m,A
0.48,lament,l@mEnt,V
0.3,lamentation,l{mEnt1SH,N
1.54,lamp,l{mp,N
0.3,lamplight,l{mpl2t,N
0.3,lamppost,l{mpp5st,N
0.3,lance,l#ns,N
2.41,land,l{nd,N
1.46,land,l{nd,V
0.78,landau,l{nd$,N
0.48,landed,l{ndId,A
1.3,landing,l{ndIN,N
0.3,landing-craft,l{ndINkr#ft,N
0.95,landlady,l{nl1dI,N
0.6,landless,l{ndlIs,A
1.46,landlord,l{nl$d,N
0.7,landmark,l{ndm#k,N
1.08,landowner,l{nd5n@R,N
0.48,lands,l{ndz,N
1.51,landscape,l{nsk1p,N
0.3,landscape,l{nsk1p,V
1.62,lane,l1n,N
0.48,Lang,l{N,N
2.19,language,l{NgwI_,N
0.48,languid,l{NgwId,A
0.3,languish,l{NgwIS,V
0.78,lantern,l{nt@n,N
1.3,lap,l{p,N
0.6,lap,l{p,V
0.7,lapel,l@pEl,N
0.7,lapse,l{ps,N
0.6,lapse,l{ps,V
0.3,larch,l#J,N
0.3,lard,l#d,N
0.6,larder,l#d@R,N
2.64,large,l#_,A
1.48,large,l#_,N
1.18,large,l#_,ADV
1.81,largely,l#_lI,ADV
1.18,large-scale,l#_sk1l,A
0.6,lark,l#k,N
0.7,larva,l#v@,N
0.3,lascivious,l@sIv7s,A
0.3,laser,l1z@R,N
0.6,lash,l{S,N
0.9,lash,l{S,V
0.3,lass,l{s,N
1.85,last,l#st,V
1.11,last,l#st,ADV
2.78,last,l#st,FUNC
0.95,lasting,l#stIN,A
0.7,lastly,l#stlI,ADV
0.3,latch,l{J,N
0.3,latch,l{J,V
2.8,late,l1t,A
1.38,late,l1t,ADV
1.08,lately,l1tlI,ADV
0.78,latent,l1t@nt,A
1.08,lateral,l{t@r@l,A
0.3,lathe,l1D,N
1.08,Latin,l{tIn,N
1.42,Latin,l{tIn,A
0.3,latitude,l{tItjud,N
0.3,latitudes,l{tItjudz,N
0.3,latrine,l@trin,N
0.9,latter,l{t@R,FUNC
1.62,latter,l{t@R,N
0.3,latter-day,l{t@d1,A
0.3,lattice,l{tIs,N
1.4,laugh,l#f,N
2.23,laugh,l#f,V
0.48,laughing,l#fIN,A
1.68,laughter,l#ft@R,N
0.85,launch,l$nJ,N
1.59,launch,l$nJ,V
0.48,launch,l$nJ,N
0.3,launder,l$nd@R,V
1.08,laundry,l$ndrI,N
0.6,laurel,lQr@l,N
0.6,lava,l#v@,N
1.23,lavatory,l{v@t@rI,N
0.3,lavender,l{v@nd@R,N
0.7,lavish,l{vIS,A
0.48,lavishly,l{vISlI,ADV
2.35,law,l$,N
1.43,lawn,l$n,N
0.3,lawsuit,l$sut,N
1.71,lawyer,l$j@R,N
2.08,lay,l1,V
1.08,lay,l1,A
0.3,layby,l1b2,N
1.53,layer,l1@R,N
0.3,layer,l1@R,V
0.85,layman,l1m@n,N
0.6,lay-out,l16t,N
0.3,Lazarus,l{z@r@s,N
0.48,lazily,l1zIlI,ADV
0.3,laziness,l1zInIs,N
1.11,lazy,l1zI,A
0.6,lea,li,N
0.48,leach,liJ,V
1.45,lead,lid,N
1.42,lead,lEd,N
2.47,lead,lid,V
0.3,leaden,lEdH,A
2.16,leader,lid@R,N
1.6,leadership,lid@SIp,N
1.53,leading,lidIN,A
1.91,leaf,lif,N
0.3,leaf,lif,V
1.26,leaflet,liflIt,N
0.48,leafy,lifI,A
1.51,league,lig,N
0.9,leak,lik,N
1,leak,lik,V
1.86,lean,lin,V
0.95,lean,lin,A
0.9,leap,lip,N
1.49,leap,lip,V
2.49,learn,l3n,V
0.6,learned,l3nId,A
0.7,learner,l3n@R,N
0.48,learning,l3nIN,N
0.7,lease,lis,N
0.48,lease,lis,V
2.49,least,list,N
1.34,least,list,FUNC
1.56,leather,lED@R,N
0.3,leathery,lED@rI,A
1,leave,liv,N
2.89,leave,liv,V
0.6,Lebanese,lEb@niz,A
1,Lebanon,lEb@n@n,N
0.3,lectern,lEkt@n,N
1.62,lecture,lEkJ@R,N
1.04,lecture,lEkJ@R,V
1.11,lecturer,lEkJ@r@R,N
1,ledge,lE_,N
0.78,ledger,lE_@R,N
1.23,lee,li,N
0.3,leech,liJ,N
0.3,leek,lik,N
0.3,leer,l7R,V
1.82,left,lEft,N
1.82,left,lEft,A
0.6,left-hand,lEfth{nd,A
0.3,left-handed,lEfth{ndId,A
0.3,leftist,lEftIst,N
0.3,leftist,lEftIst,A
1.04,left-wing,lEftwIN,N
0.3,left-winger,lEftwIN@R,N
2.24,leg,lEg,N
0.9,legacy,lEg@sI,N
1.81,legal,ligP,A
0.3,legalize,lig@l2z,V
1,legally,lig@lI,ADV
1.23,legend,lE_@nd,N
0.85,legendary,lE_@nd@rI,A
0.85,legion,li_@n,N
0.48,legislate,lE_Isl1t,V
1.56,legislation,lE_Isl1SH,N
0.7,legislative,lE_Isl@tIv,A
0.48,legislator,lE_Isl1t@R,N
0.7,legislature,lE_Isl1J@R,N
0.48,legitimacy,lI_ItIm@sI,N
1.04,legitimate,lI_ItIm@t,A
0.3,legitimately,lI_ItIm@tlI,ADV
0.3,legitimize,lI_ItIm2z,V
0.3,legume,lEgjum,N
1.42,leisure,lEZ@R,N
0.78,leisurely,lEZ@lI,A
1.18,lemon,lEm@n,N
0.48,lemonade,lEm@n1d,N
0.3,lemur,lim@R,N
1.43,lend,lEnd,V
1.92,length,lENT,N
0.78,lengthen,lENT@n,V
0.9,lengthy,lENTI,A
0.3,lenient,linj@nt,A
0.9,Lenin,lEnIn,N
1.11,lens,lEnz,N
0.3,lentil,lEntIl,N
0.7,Leo,li5,N
0.9,leopard,lEp@d,N
0.78,lesbian,lEzb7n,N
0.48,lesbian,lEzb7n,A
2.38,less,lEs,FUNC
0.9,lessen,lEsH,V
1.2,lesser,lEs@R,A
1.76,lesson,lEsH,N
0.85,lest,lEst,FUNC
2.63,let,lEt,V
0.9,lethal,liTP,A
0.3,lethargy,lET@_I,N
2.31,letter,lEt@R,N
0.3,letterbox,lEt@bQks,N
0.48,lettering,lEt@rIN,N
0.85,lettuce,lEtIs,N
0.3,leukaemia,lukim7,N
2.37,level,lEvP,N
1.08,level,lEvP,V
0.9,level,lEvP,A
0.95,lever,liv@R,N
0.48,leverage,liv@rI_,N
0.3,leviathan,lIv2@TH,N
0.48,levy,lEvI,N
0.48,levy,lEvI,V
0.3,ley,l1,N
0.95,liability,l2@bIl@tI,N
1.2,liable,l2@bP,A
0.95,liaison,lI1z@n,N
0.95,liar,l2@R,N
0.48,lib,lIb,N
0.48,libel,l2bP,N
0.48,liberal,lIb@r@l,N
1.18,liberal,lIb@r@l,A
1.32,Liberal,lIb@r@l,N
1.36,Liberal,lIb@r@l,A
0.48,Liberalism,lIb@r@lIz@m,N
0.3,liberalization,lIb@r@l2z1SH,N
0.3,liberally,lIb@r@lI,ADV
1.04,liberate,lIb@r1t,V
0.6,liberated,lIb@r1tId,A
1.48,liberation,lIb@r1SH,N
0.7,libertarian,lIb@t8r7n,N
1.36,liberty,lIb@tI,N
0.7,librarian,l2br8r7n,N
1.79,library,l2br@rI,N
0.7,Libya,lIb7,N
0.48,Libyan,lIb7n,A
1.38,licence,l2s@ns,N
0.6,license,l2s@ns,V
0.48,licensed,l2s@nst,A
1.04,lick,lIk,V
1.26,lid,lId,N
2.48,lie,l2,V
1.3,lie,l2,V
1.3,lie,l2,N
1.18,lieutenant,lEftEn@nt,N
2.92,life,l2f,N
0.3,lifeboat,l2fb5t,N
0.48,lifeless,l2flIs,A
0.6,lifelong,l2flQN,A
1.36,lifetime,l2ft2m,N
1.34,lift,lIft,N
1.94,lift,lIft,V
0.48,ligament,lIg@m@nt,N
2.46,light,l2t,N
1.73,light,l2t,V
1.73,light,l2t,A
0.78,light,l2t,ADV
0.6,lighten,l2tH,V
0.6,lighter,l2t@R,N
0.3,light-hearted,l2th#tId,A
0.48,lighthouse,l2th6s,N
1.08,lighting,l2tIN,N
1.34,lightly,l2tlI,ADV
0.48,lightness,l2tnIs,N
1.15,lightning,l2tnIN,N
0.48,lightweight,l2tw1t,A
0.48,likable,l2k@bP,A
2.51,like,l2k,V
3.25,like,l2k,FUNC
1,likelihood,l2klIhUd,N
2.26,likely,l2klI,A
1,likeness,l2knIs,N
0.7,likes,l2ks,N
0.9,likewise,l2kw2z,ADV
0.78,liking,l2kIN,N
0.6,lilac,l2l@k,N
1.04,lily,lIlI,N
0.3,Lima,lim@,N
1.38,limb,lIm,N
0.48,limbo,lImb5,N
0.95,lime,l2m,N
0.3,limelight,l2ml2t,N
0.78,limestone,l2mst5n,N
1.69,limit,lImIt,N
1.54,limit,lImIt,V
1.28,limitation,lImIt1SH,N
1.71,limited,lImItId,A
0.48,limiting,lImItIN,A
0.6,limitless,lImItlIs,A
0.6,limousine,lIm@zin,N
0.85,limp,lImp,V
0.95,limp,lImp,A
0.3,limpet,lImpIt,N
0.3,limply,lImplI,ADV
0.85,Lincoln,lINk@n,N
2.46,line,l2n,N
1.45,line,l2n,V
0.3,lineage,lInII_,N
0.6,linear,lIn7R,A
1.23,linen,lInIn,N
0.6,liner,l2n@R,N
0.7,lines,l2nz,N
0.3,line-up,l2nVp,N
0.6,ling,lIN,N
1.08,linger,lINg@R,V
0.48,lingering,lINg@rIN,A
0.48,linguist,lINgwIst,N
0.7,linguistic,lINgwIstIk,A
0.6,linguistics,lINgwIstIks,N
0.6,lining,l2nIN,N
1.59,link,lINk,N
1.61,link,lINk,V
0.3,linkage,lINkI_,N
0.48,linoleum,lIn5lj@m,N
1.4,lion,l2@n,N
1.89,lip,lIp,N
0.85,lipstick,lIpstIk,N
0.48,liqueur,lIkj9R,N
1.28,liquid,lIkwId,N
1.04,liquid,lIkwId,A
0.3,liquidate,lIkwId1t,V
0.9,liquor,lIk@R,N
0.3,lira,l7r@,N
1.92,list,lIst,N
1.46,list,lIst,V
2.25,listen,lIsH,V
1.08,listener,lIsH@R,N
0.3,listless,lIstlIs,A
0.3,litany,lIt@nI,N
1.3,literacy,lIt@r@sI,N
0.7,literal,lIt@r@l,A
1.43,literally,lIt@r@lI,ADV
1.36,literary,lIt@r@rI,A
0.6,literate,lIt@r@t,A
1.72,literature,lIt@r@J@R,N
0.3,litigation,lItIg1SH,N
1.04,litre,lit@R,N
0.95,litter,lIt@R,N
0.85,litter,lIt@R,V
2.61,little,lItP,N
2.65,little,lItP,A
2.4,little,lItP,ADV
2.06,little,lItP,FUNC
2.72,live,lIv,V
0.95,live,l2v,A
0.7,livelihood,l2vlIhUd,N
1.18,lively,l2vlI,A
1.18,liver,lIv@R,N
0.3,livery,lIv@rI,N
0.9,livestock,l2vstQk,N
0.3,livid,lIvId,A
1.83,living,lIvIN,N
1.49,living,lIvIN,A
1.15,living-room,lIvINrUm,N
0.6,lizard,lIz@d,N
1.49,load,l5d,N
1.43,load,l5d,V
0.95,loaf,l5f,N
1.54,loan,l5n,N
0.3,loan,l5n,V
0.3,loath,l5T,A
0.78,loathe,l5D,V
0.48,loathing,l5DIN,N
0.3,loathsome,l5Ds@m,A
0.3,lob,lQb,N
1.4,lobby,lQbI,N
0.6,lobby,lQbI,V
0.6,lobe,l5b,N
0.48,lobster,lQbst@R,N
0.6,local,l5kP,N
2.39,local,l5kP,A
0.7,locality,l5k{l@tI,N
0.48,localize,l5k@l2z,V
1.04,locally,l5k@lI,ADV
1.18,locate,l5k1t,V
1.04,located,l5k1tId,A
1.36,location,l5k1SH,N
0.6,loch,lQk,N
1.18,lock,lQk,N
1.79,lock,lQk,V
0.85,locker,lQk@R,N
0.3,locomotion,l5k@m5SH,N
0.3,locomotive,l5k@m5tIv,N
0.3,locust,l5k@st,N
1.18,lodge,lQ_,N
0.85,lodge,lQ_,V
0.7,lodger,lQ_@R,N
0.48,lodging,lQ_IN,N
1.11,lodgings,lQ_INz,N
0.48,loft,lQft,N
0.6,lofty,lQftI,A
1.04,log,lQg,N
0.3,log,lQg,V
0.3,Logan,l5g@n,N
0.3,logging,lQgIN,N
1.34,logic,lQ_Ik,N
1.45,logical,lQ_IkP,A
0.78,logically,lQ_Ik@lI,ADV
0.3,loins,l4nz,N
0.48,loiter,l4t@R,V
0.7,loll,lQl,V
2.48,London,lVnd@n,N
0.78,lone,l5n,A
1.04,loneliness,l5nlInIs,N
1.45,lonely,l5nlI,A
1.49,long,lQN,V
2.72,long,lQN,A
2.67,long,lQN,ADV
0.6,long-distance,lQNdIst@ns,A
0.3,longhaired,lQNh8d,A
1,longing,lQNIN,N
0.3,longish,lQNIS,A
0.6,long-range,lQNr1n_,A
0.48,longstanding,lQNst{ndIN,A
0.3,longsuffering,lQNsVf@rIN,A
1.46,long-term,lQNt3m,A
0.78,loo,lu,N
2.12,look,lUk,N
3.13,look,lUk,V
0.78,lookout,lUk6t,N
1.15,looks,lUks,N
0.3,loom,lum,N
1,loom,lum,V
0.9,loop,lup,N
0.48,loop,lup,V
0.48,loophole,luph5l,N
0.3,loose,lus,V
1.58,loose,lus,A
0.48,loose,lus,ADV
0.48,loose,lus,N
0.85,loosely,luslI,ADV
0.95,loosen,lusH,V
0.3,looseness,lusnIs,N
0.6,loot,lut,N
0.6,loot,lut,V
0.3,lop,lQp,V
0.3,lope,l5p,V
0.6,lord,l$d,V
1,lord,l$d,N
2.28,Lord,l$d,N
1.18,Lords,l$dz,N
0.7,lordship,l$dSIp,N
0.48,lore,l$R,N
1.11,lorry,lQrI,N
2.53,lose,luz,V
0.78,loser,luz@R,N
1.99,loss,lQs,N
2.55,lot,lQt,N
0.48,lotion,l5SH,N
0.3,lottery,lQt@rI,N
0.3,lotus,l5t@s,N
1.48,loud,l6d,A
1.28,loud,l6d,ADV
1.26,loudly,l6dlI,ADV
0.6,loudspeaker,l6dspik@R,N
1.08,lounge,l6n_,N
0.48,lounge,l6n_,V
0.3,lour,l6@R,V
0.48,louse,l6s,N
0.9,lousy,l6zI,A
0.3,lout,l6t,N
0.3,louvre,luv@R,N
0.6,lovable,lVv@bP,A
2.35,love,lVv,N
2.38,love,lVv,V
1.79,lovely,lVvlI,A
0.48,lovemaking,lVvm1kIN,N
1.56,lover,lVv@R,N
0.85,lovers,lVv@z,N
1.18,loving,lVvIN,A
0.7,lovingly,lVvINlI,ADV
0.48,low,l5,N
0.48,low,l5,V
2.26,low,l5,A
1.36,low,l5,ADV
1.68,lower,l5@R,V
1.51,lower,l5@R,A
0.78,lowland,l5l@nd,N
0.3,lowly,l5lI,A
1.04,loyal,l4@l,A
0.48,loyalist,l4@lIst,N
1.36,loyalty,l4@ltI,N
0.3,lubricate,lubrIk1t,V
0.48,lucid,lusId,A
1.65,luck,lVk,N
1.04,luckily,lVkIlI,ADV
1.68,lucky,lVkI,A
0.48,lucrative,lukr@tIv,A
0.78,ludicrous,ludIkr@s,A
0.3,ludicrously,ludIkr@slI,ADV
0.48,lug,lVg,V
1.04,luggage,lVgI_,N
0.3,lukewarm,lukw$m,A
0.3,lull,lVl,N
0.48,lull,lVl,V
0.6,lumber,lVmb@R,V
0.78,luminous,lumIn@s,A
1.26,lump,lVmp,N
0.3,lump,lVmp,V
0.3,lumpy,lVmpI,A
0.3,lunacy,lun@sI,N
0.7,lunar,lun@R,A
0.6,lunatic,lun@tIk,N
0.48,lunatic,lun@tIk,A
1.91,lunch,lVnJ,N
0.7,lunch,lVnJ,V
0.85,luncheon,lVnJ@n,N
0.85,lunchtime,lVnJt2m,N
1.38,lung,lVN,N
0.48,lunge,lVn_,V
0.3,lurch,l3J,N
0.85,lurch,l3J,V
0.7,lure,l9R,N
0.7,lure,l9R,V
0.48,lurid,l9rId,A
0.95,lurk,l3k,V
0.7,lush,lVS,A
1,lust,lVst,N
0.3,lustre,lVst@R,N
0.7,Luther,luT@R,N
